descriptionIlabel;;;;;;;;;;;;
Группа &quot;Русагро&quot;, которая ведет строительство крупного свиноводческого комплекса на Дальнем Востоке, готова инвестировать от $1 млрд в новый проект по переработке молока в этом регионе.I1;;;;;;;;;;
Директор по стратегии, развитию бизнеса и финансовым рынкам UC Rusal Олег Махамедшин заявил, что компания проводит переговоры со Сбербанком об улучшении условий по кредиту на $4,5 млрд под залог акций &quot;Норникеля&quot;. Об этом ...I1;;;;;;;;;;
&quot;Русал&quot; планирует переехать из бизнес-центра на Николоямской, 13, в бизнес-центр &quot;Парк Победы&quot;, расположенный на улице Василисы Кожиной. Переезд запланирован на начало 2017 года. Об этом &quot;Газете.Ru&quot; рассказали ...I3;;;;;;
Компания &quot;Русал&quot; зарегистрировала проспект эмиссии облигаций на Шанхайской фондовой бирже в юанях (Panda bonds), общим объемом до 10 млрд юаней ($1,5 млрд) сроком на семь лет, говорится в пресс-релизе, поступившем в ...I3;;;;;;;;;;
Глава &quot;РусГидро&quot; Николай Шульгинов сообщил, что энергетическая компания за последний год сократила депозиты в банке &quot;Пересвет&quot;, ключевым акционером которого выступает Русская православная церковь (РПЦ), передает ...I5;;;;;;;;
&quot;Русгидро&quot; вышла из капитала &quot;Энергетической сбытовой компании Башкортостана&quot;, тем самым снизив долю владения в ней со 100% до нуля. Об этом сообщает RNS со ссылкой на материалы компании.  &quot;Дата наступления ...I5;;;;;;;
&quot;РусГидро&quot; вышла из капитала Энергетической сбытовой компании Башкортостана, тем самым снизив долю владения в ней со 100% до нуля. Об этом сообщает RNS со ссылкой на материалы компании.  &quot;Дата наступления основания, в силу ...I5;;;;;;;;;
&quot;РусГидро&quot;, которое вскоре может оказаться участником bail-in в проблемном российском банке &quot;Пересвет&quot;, уже имеет опыт участия в этом механизме за рубежом - правда, в незначительном объеме.I3;;;;;;;;
ПАО &quot;РусГидро&quot; вывело часть средств из &quot;Пересвета&quot; до введения в банке временной администрации.I3;;;;;;;;
Инфраструктурная компания &quot;Русские башни&quot; ведет переговоры с &quot;Мобильными Телесистемами&quot; об аренде или управлении вышками оператора для размещения телеком-оборудования, сообщил &quot;Интерфаксу&quot; президент &quot;Русских башен&quot; Александр Чуб.I3;;;;
&quot;Русснефть&quot; собирается увеличить инвестиции в 1,5 раза, до 25,7 млрд рублей в текущем году. Об этом сообщает ТАСС со ссылкой на заявление компании.  &quot;Бизнес-план общества на 2017 год предусматривает изменение структуры ...I1;;;;;;;;;
Глава &quot;Русснефти&quot; Михаил Гуцериев заявил, что по соглашению России с ОПЕК, компания сократила добычу нефти в январе на 30 тыс. тонн. Об этом сообщает ТАСС.   &quot;В январе сократили где-то 30 тыс. тонн, 300 тыс. тонн по году ...I5;;;;;;;;;
Капиталовложения &quot;Русснефти&quot; в строительство объектов инфраструктуры и обустройства месторождений выросли в 4,6 раз по итогам января текущего года и составили 1,095 млрд рублей. Об этом сообщает RNS со ссылкой на данные ...I4;;;;;;;;;;
Капиталовложения &quot;Русснефти&quot; в строительство объектов инфраструктуры и обустройства месторождений выросли в 4,6 раз по итогам января текущего года и составили 1,095 млрд руб. Об этом сообщает RNS со ссылкой на данные ...I4;;;;;;;;;;
&quot;Связной&quot; возобновляет сотрудничество с Samsung и начинает продажи устройств вендора, говорится в сообщении компании.I3;;;;;;;;;;
&quot;Связной&quot; и Samsung ведут переговоры о возобновлении продаж устройств южнокорейской компании в сети ритейлера.I3;;;;;;;;;;
Новым генеральным директором &quot;Северсталь Менеджмент&quot; с 12 декабря назначен Александр Шевелев. Об этом говорится в сообщении компании.  Также стало известно, что на должность генерального директора группы &quot;Свеза&quot; ...I3;;;;;;;;
Металлургическая компания &quot;Северсталь&quot; объявила об инвестиционной программе в размере 43 млрд руб. на 2017 год, говорится в сообщении компании.   Инвестпрограмма российского дивизиона &quot;Северсталь Российская сталь&quot; в ...I1;;;;;;;;
Металлургическая компания &quot;Северсталь&quot; планирует разместить конвертируемые бонды на сумму до $250 млн сроком до 2022 года, говорится в сообщении компании.  Уточняется, что ставка может составить до 0,5% годовых, выплата &#x2014; ...I1;;;;;;;;;
&quot;Северсталь-метиз&quot;, которая является дочерней компании &quot;Северстали&quot;, подписала обязывающее соглашение о продаже производителя стальных канатов Redaelli Tecna. Об этом говорится в сообщении ...I1;;;;;;;;
Крупнейший нефтехимический холдинг &quot;Сибур&quot; закрыл сделку по продаже 10% акций китайскому Фонду Шелкового пути, говорится в сообщении компании.  &quot;Акционеры &quot;Сибура&quot; ... и китайский инвестиционный Фонд Шелкового пути ...I3;;;;;;;
Арбитражный суд Москвы зарегистрировал пять исков киностудии &quot;Союзмультфильм&quot; к ритейлерам: &quot;Перекресток&quot;, &quot;Седьмой континент&quot; и &quot;Вегат Плюс&quot; (сеть универсамов АБК) о взыскании в общей сложности 2,5 ...I2;;;;
Группа &quot;Сумма&quot; заинтересована в покупке госпакета Новороссийского морского торгового порта. Об этом сообщает РИА &quot;Новости&quot; со ссылкой на замглавы Минтранса России Виктора Олерского.  &quot;Мы многих пока не знаем, кто ...I3;;;;;;;
&quot;Татнефть&quot; договорилась о продаже своего пакета акций компании &quot;Нижнекамскнефтехим&quot; холдингу &quot;Таиф&quot; за 32 млрд рублей. Об этом говорится в сообщении нефтяной компании.  Как стало известно, в соответствии с ...I3;;;;;;
&quot;Газпром&quot; присудил 40 подрядов на общую сумму 7,9 млрд руб. на строительство вспомогательных объектов магистрального газопровода &quot;Сила Сибири&quot; ООО &quot;Томпромтранс&quot; (ТПТ). Об этом сообщает &quot;Интерфакс&quot;. ...I3;;;;
&quot;Газпром&quot; присудил 40 подрядов на общую сумму 7,9 млрд рублей на строительство вспомогательных объектов магистрального газопровода &quot;Сила Сибири&quot; ООО &quot;Томпромтранс&quot; (ТПТ). Об этом сообщает ...I3;;;;;;
&quot;Транснефть&quot; завершила размещение 21,9 тысячи обыкновенных акций на 5,99 млрд рублей, сообщается на портале раскрытия информации.  Уточняется, что акции были размещены путем закрытой подписки.   Номинальная стоимость каждой акции ...I3;;;;;;;;;;
Из-за аномальных морозов на ряде месторождений Западной Сибири нестабильно работают установки по подготовке нефти (отделение воды) для сдачи в систему &quot;Транснефти&quot; , сообщил журналистам советник-президента компании, пресс-секретарь Игорь Демин.I3;;;;;;;;;;
Адвокаты &quot;Транснефти&quot; подали заявление об отводе судьи в судебном разбирательстве трубопроводной компании с &quot;Роснефтью&quot; по договору на транспортировку нефти в 2017 году, передал корреспондент &quot;Интерфакса&quot; из зала суда.I2;;;;;;
&quot;Транснефть&quot; планирует выплачивать дивиденды в размере 25% от чистой прибыли. Об этом говорится в сообщении компании.   &quot;Дивидендная политика предусматривает по общему правилу направление на дивидендные выплаты по акциям ...I1;;;;;;;;;
&quot;Транснефть&quot; планирует начать выплачивать дивиденды в размере 25% от чистой прибыли. Об этом говорится в сообщении компании.   &quot;Дивидендная политика предусматривает, по общему правилу, направление на дивидендные выплаты по ...I1;;;;;;;;;
Транснефть&quot; планирует разместить биржевые облигации серии БО-001Р-05 на сумму 15 млрд рублей. Об этом сообщает RNS со ссылкой на материалы компании.  Как стало известно, выпуск включает 15 млн ценных бумаг номинальной стоимостью 1 ...I1;;;;;;;;;;;
&quot;Транснефть&quot; планирует увеличить инвестпрограмму в текущем году на 13,5%, до 385,6 млрд рублей. Об этом сообщает RNS со ссылкой на материалы компании.  Также стало известно, что на 2016 год компания закладывала инвестпрограмму в ...I1;;;;;;;;;;
&quot;Транснефть&quot; подала иск в Арбитражный суд Москвы к Банку России, касательно спора о раскрытии информации миноритарным акционерам. Об этом сообщает ТАСС со ссылкой на материалы суда.   &quot;У нас есть ряд решений судов ...I2;;;;;;;;;
Проблемы со сдачей нефти из-за морозов преодолены, сообщил журналистам советник президента &quot;Транснефти&quot;, пресс-секретарь Игорь Демин.I3;;;;;;;;;;
&quot;Транснефть&quot; в текущем году ожидает сохранение прокачки нефти по системе на уровне прошлого года - 483,3 млн тонн. Об этом сообщил ТАСС вице-президент компании Сергей Андронов.  &quot;На том же уровне остается - 483,3 млн тонн. ...I3;;;;;;;;;
&quot;Транснефть&quot; посчитала обоснованным рост тарифов по двум веткам крупнейшего магистрального нефтепровода &quot;Дружба&quot;, который проходит по территории Белоруссии. Об этом сообщает ТАСС со ссылкой на представителя компании ...I3;;;;;;;;
Глава &quot;Транснефти&quot; Николай Токарев заявил, что запуск двух новых нефтепроводов Заполярье - Пурпе и Куюмба &#x2013; Тайшет не скажется на общем объеме экспорт нефти из России в 2017 году. Об этом сообщает ТАСС.   &quot;По экспорту ...I3;;;;;;;;
На Украине сотрудники СБУ и прокуратуры разоблачили поставку неликвидных запчастей предприятию &quot;Украинские железные дороги&quot; на общую сумму 20 млн гривен (около $ 738 тыс.). Об этом сообщает пресс-служба СБУ.  Руководство одного ...I2;;;;;;;;;;
Екатеринбургская авиакомпания &quot;Уральские авиалинии&quot; готовится к запуску рейса из аэропорта &quot;Жуковский&quot; в Тель-Авив в плановом режиме, сообщили &quot;Интерфаксу&quot; в пресс-службе авиаперевозчика.I3;;;;;;
Акционеры российской фармацевтической компании &quot;Фармстандарт&quot; на внеочередном собрании 30 января приняли решение обратиться к Московской бирже с заявлением о делистинге акций, сообщается на портале раскрытия корпоративной ...I3;;;;;;;;;;
&quot;Шоколадница&quot; запускает федеральную сеть ресторанов дорожного питания.I3;;;;;;;;;;
Корпорацию Уралвагонзавод (УВЗ), ранее по указу российского президента Владимира Путина переданную &quot;Ростеху&quot;, вероятнее всего возглавит заместитель главы Минпромторга Александр Потапов. Об этом сообщает &quot;Коммерсантъ&quot; со ...I3;;;;;;;;
Минсельхоз России планирует в 2017 году отменить регулирование регионами торговых наценок на детское питание, пишет &quot;Коммерсантъ&quot;.  Ведомство разработало проект постановления правительства, согласно которому регионы лишаются ...I3;;;;;;;;;;
Минсельхоз России планирует в 2017 году отменить регулирование регионами торговых наценок на детское питание, пишет &quot;Коммерсант&quot;.  Ведомство разработало проект постановления правительства, согласно которому регионы лишаются права ...I3;;;;;;;;;;
ОАО &quot;Горно-туристический центр &quot;Газпром&quot;&quot; планирует строительство четырех курортов на территории Кавказского биосферного заповедника. Об этом пишет &quot;Коммерсантъ&quot; со ссылкой на видеопрезентации новых объектов. ...I1;;;;;;
Российская госкомпания &quot;Газпром&quot; может потерять свой крупнейший актив в Турции из-за того, пишет &quot;Коммерсантъ&quot;.  Это может произойти из-за того, что власти Турции по подозрениям в связях с организацией Фетхуллаха Гюлена ...I3;;;;;;;;
&quot;Газпром&quot; собирается подать иски к частным компаниям - импортерам российского газа в Турции, с которыми он не смог договориться о цене на газ на этот год. Об этом пишет газета &quot;Коммерсантъ&quot; со ссылкой на источники в ...I2;;;;;;;;
В 2017 году &quot;Лукойл&quot; может освоить новую площадку на шельфе Балтийского моря. Об этом сообщает &quot;Коммерсантъ&quot; со ссылкой на источники.  Как утверждает издание, соответствующую просьбу о проведении аукциона на право ...I1;;;;;;;;
Украинская &quot;Мотор Сич&quot; может принять участие в российско-китайском проекте тяжелого вертолета AHL и предоставить турбовальные двигатели АИ-136Т. Об этом пишет &quot;Коммерсантъ&quot;.  Как стало известно, посредником для двух ...I1;;;;;;;;
Бизнесмен Александр Мамут проводит переговоры о заключении сделки на приобретение крупнейшей в России сети кинотеатров &quot;Синема парк&quot; у сына Сулеймана Керимова Саида. Об этом сообщает &quot;Коммерсантъ&quot;.   Издание отмечает, ...I3;;;;;;;;
Бизнесмен Александр Мамут проводит переговоры о заключении сделки на приобретение крупнейшей в России сети кнотеатров &quot;Синема парк&quot; у сына Сулеймана Керимова Саида. Об этом сообщает &quot;Коммерсантъ&quot;.   Издание отмечает, ...I3;;;;;;;;
Центробанк планирует обязать негосударственные пенсионные фонды (НПФ) раскрывать структуру инвестпортфелей в ежедневном режиме. Об этом сообщает &quot;Коммерсантъ&quot; со ссылкой на соответствующий проект ЦБ.  Банк России уже получает ...I3;;;;;;;;;;
Российские банки оказались не готовы к реализации поправок в Налоговый кодекс, которые предусматривают возможность оплаты налогов компаний &quot;иными лицами&quot;, пишет &quot;Коммерсантъ&quot;.  Опрошенные изданием кредитные организации ...I3;;;;;;;;
Крупнейшие банки России предложили правительству расширить перечень агентов по осуществлению выплаты военных пенсий. Об этом пишет &quot;Коммерсантъ&quot; со ссылкой на источник в Белом доме и одно из ведомств экономического блока.    ...I3;;;;;;;;;;
Идея Минпромторга о введении утилизационного сбора на машиностроительную продукцию и станки подверглась критике со стороны Российского союза промышленников и предпринимателей (РСПП), пишет &quot;Коммерсантъ&quot; со ссылкой на копию письма ...I3;;;;;;;;;;
Политический блок Кремля, которым руководит первый заместитель главы администрации президента (АП) Сергей Кириенко, разрабатывает реформу системы распределения президентских грантов, пишет &quot;Коммерсантъ&quot;.  Издание уточняет, что в ...I3;;;;;;;;;;
Из-за отсутствия госрегистрации некоторые виды медицинских изделий остались без формального допуска на российский рынок, пишет &quot;Коммерсантъ&quot;.  По данным двух отраслевых ассоциаций, от 10% до 40% продукции входящих в них компаний ...I3;;;;;;;;;;
Начальник отдела кассовых систем и процессов немецкой сети гипермаркетов &quot;Глобус&quot; Денис Россошанский сообщил о запуске пилотного проекта системы Scan &amp;amp; amp;Go, которая позволит покупателям &quot;пробивать&quot; товар до того, как ...I1;;;;;
Ассоциация распространителей печатной продукции (АРПП) попросила руководство Московского метрополитена вернуть торговлю прессой в переходы и на станции метро. Об этом пишет &quot;Коммерсантъ&quot;.  АРПП направило письмо с данной просьбой ...I3;;;;;;;;;;
"Аналитик Sberbank CIB Юлия Гордеева со ссылкой на данные с конференц-колла для аналитиков сообщила, что группа компаний ПИК Сергея Гордеева провела сокращение тысячи человек из штата группы &quot;Мортон&quot;, пишет ...I5";;;;;;;;;;;;
Задолженность по государственным и муниципальным контрактам перед предпринимателями на начало сентября составляла 30,5 млрд руб, пишет &quot;Коммерсант&quot; со ссылкой на Генпрокуратуру России.   Сообщается, что за десять месяцев 2016 ...I2;;;;;;;;;;
В 2016 году доля застройщиков, вошедших в стадию банкротства, выросла вдвое &#x2014; до 1,8%, пишет &quot;Коммерсантъ&quot; со ссылкой на Рейтинговое агентство строительного комплекса (РАСК).  РАСК уточняет, что из 5,5 тыс. существующих ...I2;;;;;;;;;
Гендиректор и совладелец издательской группы &quot;Эксмо-АСТ&quot; Олег Новиков заявил, что доля украинского рынка сократилась до 2% от общей выручки российских книжных издательств за последние два года, передает ...I5;;;;;;;;;;
Книжные магазины и газетные киоски могут полностью освободить от уплаты налога на добавленную стоимость, пишет &quot;Коммерсантъ&quot; со ссылкой на проект распоряжения правительства.  В документе, разработанном Минкомсвязи, прописаны меры ...I3;;;;;;;;;;
Входящая в группу &quot;Роснефти&quot; компания, название которой не раскрывается, попала в тройку претендентов на приобретение &quot;Глобэкса&quot; и Связь-банка (дочерние банки Внешэкономбанка - &quot;Газета.Ru&quot;). Об этом пишет ...I3;;;;;;
Несколько крупных российских банков из топ-10 планирует направить главе Банка России Эльвире Набиуллиной письмо с просьбой не вводить обязательный перевод всех бюджетных средств и средств внебюджетных фондов на карту &quot;Мир&quot;. Об ...I3;;;;;;;;;;
Московское управление МВД начало расследование о мошенническом хищении 2 млрд рублей у ПАО &quot;Газпром нефть&quot;, пишет &quot;Коммерсантъ&quot;.  Издание уточняет, что уголовное дело возбуждено против &quot;неустановленных лиц&quot; из ...I2;;;;;;
Национальный союз производителей молока (&quot;Союзмолоко&quot;) предупредил министра сельского хозяйства Александра Ткачева о возможном увеличении цен на свою продукцию. Об этом сообщает &quot;Коммерсант&quot; со ссылкой на текст ...I3;;;;;;;;
Минфин России провел расчеты ожидания по курсу рубля при реализации временного бюджетного правила, пишет &quot;Коммерсантъ&quot;.  Бюджетное правило предполагает конвертацию в суверенных фондах части нефтегазовых доходов в зависимости от ...I3;;;;;;;;;;
Минэкономики предложило снизить акцизные ставки и минимальные розничные цены на алкоголь, а также снять ограничения на розничную продажу спиртного, которые были введены в 2012-2016 годах. Об этом сообщает &quot;Коммерсантъ&quot;.  Издание ...I3;;;;;;;;;;
Минэнерго России планирует на 12% сократить экспорт нефти в Белоруссию в первом квартале 2017 года, передает &quot;Коммерсантъ&quot; со ссылкой на источники, знакомые с ситуацией.  Как сообщает издание, согласно графику, предоставленному ...I5;;;;;;;;;;
Минэкономразвития России внесло в правительство проект плана по повышению темпов роста экономики общей стоимостью в 488 млрд руб. Об этом сообщает &quot;Коммерсантъ&quot; со ссылкой на источники.  Как стало известно, большая часть из ...I1;;;;;;;;;;
В процессе строительства третьей взлетно-посадочной полосы (ВПП-3) в столичном аэропорту Шереметьево, которая является одним из ключевых объектов под чемпионат мира по футболу 2018 года, возник дефицит средств. Согласно оценкам источников ...I3;;;;;;;;;;;;
Нордеа-банк намерен продать портфель ипотечных кредитов на сумму около 16 млрд рублей, тем самым полностью избавиться от розничного бизнеса. Об этом пишет &quot;Коммерсантъ&quot; со ссылкой на источники.  Как заявили источники, речь идет о ...I3;;;;;;;;;;
Первый зампред ВЭБ Михаил Полубояринов может занять должность замминистра экономического развития, пишет &quot;Коммерсантъ&quot; со ссылкой на информированные источники.  Издание отмечает, что Михаил Полубояринов пришел в ВЭБ в 2009 году ...I3;;;;;;;;;;
Правительство Татарстана хочет пойти на серьезные меры, чтобы спасти проблемные банки от отзыва лицензии. Власти региона договорились с рядом ведомств о том, что налоги и взносы, которые &quot;зависли&quot; в проблемных банках, будут ...I3;;;;;;;;;;
Российские туроператоры сократили предложения по формату горящих туров, пишет &quot;Коммерсантъ&quot; со ссылкой на участников рынка.   Издание уточняет, что причиной решения исключить из продажи горящие туры послужил кризис на ...I3;;;;;;;;;;
Сбербанк приостановил выдачу образовательных кредитов с государственной поддержкой из-за юридических процедур. Об этом пишет &quot;Коммерсантъ&quot; со ссылкой на пресс-службу банка.  &quot;В связи с оптимизацией программы поддержки ...I3;;;;;;;;;
Мэр Москвы Сергей Собянин предложил премьер-министру Дмитрию Медведеву позволить городам федерального значения и регионам, чей объем госзакупок превышает 100 млрд руб. в год, иметь свои интернет-порталы для госзакупок, не относящиеся к ...I3;;;;;;;;;;;;
В Южном окружном суде Нью-Йорка после почти годичного перерыва вновь стартовал процесс против сына вице-президента РЖД Петра Кацыва, бизнесмена Дениса Кацыва, пишет &quot;Коммерсантъ&quot;.    Издание уточняет, что за прошедшее время ...I2;;;;;;;;;;
Разница в зарплате между ухоженными и неухоженными мужчинами-работниками достигает около 20%, до $14&#x2013;20 тыс. в год. Об этом сообщает &quot;Коммерсантъ&quot; со ссылкой на совместное исследование Чикагского и Калифорнийского ...I3;;;;;;;;;
В России появилась защищенная законом схема отмывания денежных средств, с использованием которой в 2016 году было выведено более 16 млрд рублей, пишет &quot;Коммерсантъ&quot;.  Издание со ссылкой на участников банковского рынка уточняет, ...I3;;;;;;;;;;
Менеджмент аэропорта Шереметьево и и его основной кредитор  Внешэкономбанк (ВЭБ) договорились в конце 2016 года о реструктуризации долга на сумму $500 млн, передает &quot;Коммерсантъ&quot; со ссылкой на источники.   Представители ...I1;;;;;;;;;;
Бывшего президента &quot;МАСТ-банка&quot; Юрий Пирогов задержали в Москве по подозрению в незаконном обналичивании около 9 млрд рублей. Об этом сообщает &quot;Коммерсантъ&quot; со ссылкой на источники.   Как стало известно изданию, ...I2;;;;;;;;
Бывшего президента МАСТ-банка Юрия Пирогова задержали в Москве по подозрению в незаконном обналичивании около 9 млрд руб. Об этом сообщает &quot;Коммерсантъ&quot; со ссылкой на источники.   Как стало известно изданию, Пирогова вызвали на ...I2;;;;;;;;;;
Заместитель председателя, главный экономист Внешэкономбанка Андрей Клепач может вернуться в Минэкономразвития и занять там должность первого замминистра, которая пустует после ухода Алексея Лихачева на пост главы Росатома, пишут &quot;Ведомости&quot; со ссылкой на трех федеральных чиновников и двух сотрудников ВЭБА.I3;;;;;;;;;;
Председатель Торгово-промышленной палаты России Сергей Катырин сообщил, что &quot;Экспоцентр&quot; (на 50,8% принадлежит ТПП), примет участие в выкупе субординированных облигаций банка &quot;Пересвет&quot; (на 42,3% принадлежит ...I3;;;;;;;;
Все банкоматы банка &quot;Югра&quot; были настроены на прием и обслуживание карт национальной платежной системы &quot;Мир&quot;. Об этом говорится в сообщении финансовой организации.  Работы по перенастройке банкоматной сети в банке ...I3;;;;;;;;
Все банкоматы банка &quot;Югра&quot; настроены на прием и обслуживание карт национальной платежной системы &quot;Мир&quot;. Об этом говорится в сообщении финансовой организации.  Держатели карт &quot;Мир&quot; уже могут снимать наличные и ...I3;;;;;;
Все банкоматы банка &quot;Югра&quot; были перенастроены на прием и обслуживание карт национальной платежной системы &quot;Мир&quot;. Об этом говорится в сообщении финансовой организации.  Работы по перенастройке банкоматной сети в банке ...I3;;;;;;;;
Авиагруппа &quot;ЮТэйр&quot; утвердила бюджет на 2017 год, в основу которого был заложен консервативный прогноз развития рынка авиаперевозок. Об этом сказано в пресс-релизе компании, с которым ознакомилась ...I3;;;;;;;;;;
Технический директор авиакомпании &quot;Якутия&quot; Александр Зинков заявил, что в двух из четырех имеющихся в парке авиаперевозчика самолетов Sukhoi Superjet 100 был обнаружен дефект стабилизатора, передает ...I3;;;;;;;;;;
"&quot;Ямал СПГ&quot; и японский банк международного сотрудничества (JBIC) подписали договор о предоставлении кредитных линий и меморандум о взаимопонимании, передает РИА &quot;Новости&quot;.  Документы подписаны в ходе визита президента ...I3";;;;;;;;;;;;
Сервис &quot;Яндекс.Деньги&quot; интегрировал свою платежную систему &quot;Яндекс.Касса&quot; в программу автоматизации деятельности юрлиц &quot;1C:Предприятие&quot;, говорится в сообщении компании.I3;;;;;;
Яндекс.Новости&quot; с 26 декабря начинает тестировать новые условия работы с партнерами и приостановит показ материалов тех, кто не подписал новое соглашение о сотрудничестве, говорится в сообщении &quot;Яндекса&quot;.I3;;;;;;;;;
Россияне стали в пять раз чаще интересоваться интимными товарами в интернете, а спрос на детские товары вырос на 53%. Об этом сообщили в компании &quot;Яндекс.Деньги&quot;, передает ТАСС.  В исследовании &quot;Яндекс.Денег&quot; ...I3;;;;;;;;
Общий объем продажи иностранной валюты (в долларовом эквиваленте)  уменьшился на 55,9 млн долларов по сравнению с 30 ноября до 151,9 млн  долларов.I5;;;;;;;;;;;;
В среду, 1 марта, Девятый арбитражный апелляционной суд рассмотрит апелляции «Роснефти» и РБК на решение Арбитражного суда Москвы. Медиахолдинг по-прежнему считает, что его публикация никак не могла нанести компании репутационного ущерба. «Роснефть» продолжает требовать компенсацию на астрономическую сумму более чем 3 млрд руб.I2;;;;;;;;;;;;
Данный показатель  аналогичен показателю Китая (70 раз), в то время как в Европе в среднем эта разница составляет 22 раза. Однако на долю 10% наиболее оплачиваемых российских работников приходится 24,8% всего фонда оплаты труда, что скорее соответствует европейским показателям.I3;;;;;;;;;;;;
<b>По сравнению с первым чтением областная казна «потяжелела»</b>.  В новый год Астраханская область войдет с «потяжелевшим», но все же дефицитным бюджетом. Как сообщили ИА REGNUM в пресс-службе региональной областной думы 23 декабря, главный финансовый документ на следующий...I3;;;;;;;;;;;;
<b>Проекты по благоустройству должны быть готовы к началу весны</b>.  В текущем году Волгоградская область продолжит комплексно развивать территории региона. Причем это будет делаться повсеместно. Об этом накануне заявил губернатор области Андрей Бочаров на совещании в обладминистрации...I1;;;;;;;;;;;;
Доходы бюджета от сокращения добычи нефти в 2017 году могут составить около полутора триллионов рублей. Компании получат около 700 миллиардов рублей. Об этом сообщил Минэнерго Александр Новак.I3;;;;;;;;;;;;
В отличии от «черных лебедей», которые невозможно предсказать, японская финансовая компания Nomura указывает на 10 потенциальных «серых лебедей», о который стоит беспокоиться в 2017 году.I3;;;;;;;;;;;;
Ericsson ConsumerLab провела исследование и выявила несколько IT-трендов, который будут популярны в 2017 году. Важной темой уходящего года стал искусственный интеллект: роль ИИ растет в общественной жизни и работе.I3;;;;;;;;;;;;
2016 год был богатым на события не только в политике, но и в экономике. В течение года рынки сотрясали самые разнообразные события – от громких политических событий до финансовых шоков и ожиданий краха.I3;;;;;;;;;;;;
Шестнадцать лет назад лопнул пузырь на рынке технологий. NASDAQ рухнула с максимума в 5,132 в марте 2000 года до всего 1,470 несколько месяцев спустя.I3;;;;;;;;;;;;
10 профессий будущего, которые будет изучать новое поколение. Наша жизнь не стоит на месте. Все вокруг меняется.I3;;;;;;;;;;;;
Forbes опубликовал рейтинг самых богатых блогеров YouTube. Этот рейтинг публикуется уже второй год. 12 интернет-знаменитостей за 12 месяцев заработали в общем $70.5 млн, что на 12% выше, чем в прошлом году.I3;;;;;;;;;;;;
